240	1291
669	1326
1626	155
2789	1325
3036	1321
4183	1326
4320	1326
4966	1
5238	6
7374	1
7527	64
7868	1
9343	1326
9423	1326
9429	1
9533	1326
10028	1326
10197	1326
10446	1326
10448	1326
11093	2
12159	1205
12879	1326
14407	1326
14924	1
15236	1
15713	1326
16392	1
17409	1326
18162	1270
19954	1280
20054	1265
21315	1
21617	1326
21986	1325
22199	1326
22577	1326
22598	926
22673	1326
22678	1326
22685	1326
22687	1326
22774	1322
22785	1308
22812	1323
22881	1324
22916	1238
22991	1326
22994	1326
23012	1326
23017	1207
23054	1326
23062	1326
23074	1326
23402	1326
23524	1326
23598	1326
23603	1326
23853	1310
23947	1325
24423	1326
24468	1326
24999	1326
25583	1326
25612	7
26059	1326
26100	1
26269	1325
26528	1207
26576	1326
26708	1326
27037	102
27806	1323
27888	1195
28056	2
28270	1326
28310	1326
28329	157
28360	74
28370	75
28880	1326
28881	1326
28882	1326
29509	1326
1930	1004
2652	2
2953	990
10727	1
11749	995
14256	993
16934	995
17038	816
18926	1
19535	1
22892	1023
22941	1125
27999	1
28311	997
28680	1004
7674	1
11827	35
17675	39
20404	36
22050	32
28790	5
624	2
2304	2
9399	2
12309	47
14959	1
16615	47
20929	2
24978	2
25508	2
27011	46
27512	49
12963	23
27599	127
28083	19
28656	25
26683	1
3092	2
5942	2
357	4
11586	4
18382	5
227	4
6978	17
17338	3
22632	3
28309	4
11343	4
16376	4
17585	4
19085	5
25486	1
26129	1
26872	11
21056	10
28377	11
538	3
960	5
1212	1
2143	6
2305	9
3432	1
6254	1
6712	1
7317	5
26959	1
942	12
3307	2
3795	75
3926	71
4585	83
4914	2
5182	85
5191	14
5548	3
9865	120
11590	11
12443	82
15450	113
17504	11
22000	82
22015	82
22032	85
22189	82
22330	79
22576	114
22897	113
23018	72
24951	2
25156	12
25415	113
25791	2
26274	113
26857	121
27258	120
27381	122
27382	122
27383	125
29554	11
8388	3
9222	2
1470	5
2444	4
3569	1
5405	4
6572	4
6769	4
6785	6
8207	4
8990	4
10188	4
11505	2
12029	4
13296	2
13766	2
17677	10
18251	7
21643	2
22019	4
22053	4
22294	14
22331	5
22339	2
22800	2
22909	13
22915	4
23011	9
25170	2
25809	4
28549	4
16916	2
17026	1
21574	25
23191	1
25468	3
27483	1
28418	2
4747	2
6540	23
4572	3
6512	1
15179	2
16646	2
28876	10
28877	10
9966	7
10155	2
14675	3
16953	2
19523	4
21594	4
24619	4
25351	3
27531	6
28401	3
395	2
1610	2
17232	1
19811	2
20232	1
24862	4
29252	4
1914	12
11416	2
11514	12
18478	10
20234	41
20930	1
22628	43
22970	10
23030	75
26458	12
889	1
18896	40
20935	1
29433	1
1319	11
3039	11
21998	10
5821	12
13367	8
16337	2
25349	5
28747	2
404	32
7123	4
